team,player,position,salary_2025,notes
Sam,Garrett Wilson,WR,21,tagged 2025
Sam,Austin Ekeler,RB,34,
Sam,CJ Stroud,QB,16,
Sam,David Montgomery,RB,35,
Sam,Travis Kelce,TE,36,
Sam,DJ Moore,WR,75,
Sam,Deebo Samuel,WR,53,
Sam,Jaylen Waddle,WR,77,
Sam,Cooper Kupp,WR,55,
Sam,Tyjae Spears,RB,3,
Sam,Jaxson Dart,QB,1,
Sam,Zach Ertz,TE,1,
Sam,Will Shipley,RB,1,
Sam,Michael Carter,RB,1,
Sam,JJ McCarthy,QB,1,
Sam,Van Jefferson,WR,1,
Brandon,Jonathan Taylor,RB,41,
Brandon,Justin Jefferson,WR,36,
Brandon,Nico Collins,WR,26,tagged 2025
Brandon,Breece Hall,RB,21,
Brandon,Brock Bowers,TE,6,
Brandon,Christian McCaffrey,RB,36,
Brandon,Travis Hunter,WR,1,
Brandon,Cam Skattebo,RB,18,
Brandon,Theo Johnson,TE,1,
Brandon,Brian Robinson Jr,RB,31,
Brandon,Darius Slayton,WR,1,
Brandon,Colby Parkinson,TE,1,
Brandon,Josh Allen,QB,64,
Coby,Derrick Henry,RB,41,
Coby,Kyren Williams,RB,21,
Coby,Kyler Murray,QB,16,
Coby,Brian Thomas Jr,WR,6,
Coby,Harold Fannin Jr,TE,1,
Coby,TreVeyon Henderson,RB,1,
Coby,Quinshon Judkins,RB,1,
Coby,Bo Nix,QB,,no salary on record
Coby,Courtland Sutton,WR,,no salary on record
Coby,Mike Evans,WR,,no salary on record
Coby,Stefon Diggs,WR,,no salary on record
Coby,Dallas Goedert,TE,,no salary on record
Coby,Jacoby Brissett,QB,,no salary on record
Coby,Bhayshul Tuten,RB,,no salary on record
Coby,Devaughn Vele,WR,,no salary on record
Coby,Kyler Murray,QB,16,on IR
Coby,Braelon Allen,RB,,no salary on record; on IR
Brad,Patrick Mahomes,QB,36,
Brad,Jaxon Smith-Njigba,WR,21,
Brad,Davante Adams,WR,41,
Brad,Jameson Williams,WR,31,
Brad,Marvin Harrison Jr,WR,6,tagged 2025
Brad,Tyler Warren,TE,1,
Brad,Kaleb Johnson,RB,1,
Brad,James Conner,RB,59,
Brad,JK Dobbins,RB,37,
Brad,Travis Etienne,RB,39,
Brad,Jaylen Warren,RB,54,
Brad,Khalil Shakir,WR,53,
Brad,Christian Kirk,WR,19,
Brad,Alec Pierce,WR,1,
Brad,Ollie Gordon,RB,1,
Brad,Kenneth Gainwell,RB,1,
Brad,Jaydon Blue,RB,4,
Reid,Jordan Love,QB,17,
Reid,Tucker Kraft,TE,11,
Reid,Drake Maye,QB,20,
Reid,Chris Olave,WR,31,
Reid,Chuba Hubbard,RB,27,
Reid,Javonte Williams,RB,24,
Reid,Terry McLaurin,WR,83,
Reid,Rashee Rice,WR,55,
Reid,Rashod Bateman,WR,15,
Reid,Kyle Pitts Sr,TE,6,
Reid,Cedric Tillman,WR,5,
Reid,Najee Harris,RB,8,
Reid,Jalen Coker,WR,3,
Reid,Chris Rodriguez Jr,RB,2,
Reid,Kimani Vidal,RB,1,
Reid,Mason Taylor,TE,1,
Reid,Malik Washington,WR,1,
Reid,Isaiah Davis,RB,1,
Evan,Amon-Ra St Brown,WR,36,
Evan,Drake London,WR,26,
Evan,Saquon Barkley,RB,36,tagged 2025
Evan,George Pickens,WR,31,
Evan,Puka Nacua,WR,21,
Evan,Lamar Jackson,QB,63,
Evan,Emeka Egbuka,WR,1,
Evan,Tony Pollard,RB,70,
Evan,RJ Harvey,RB,70,
Evan,Dalton Kincaid,TE,6,
Evan,Josh Jacobs,RB,89,
Evan,Matthew Stafford,QB,1,
Evan,Dalton Schultz,TE,1,
Evan,Emanuel Wilson,RB,1,
James,Jayden Daniels,QB,26,tagged 2025
James,Trey Benson,RB,11,
James,Jordan Addison,WR,21,
James,Zay Flowers,WR,21,
James,Colston Loveland,TE,1,
James,Alvin Kamara,RB,88,
James,Aaron Jones Sr,RB,66,
James,Keenan Allen,WR,29,
James,Zach Charbonnet,RB,40,
James,Jordan Mason,RB,43,
James,Michael Pittman Jr,WR,30,
James,Wan'Dale Robinson,WR,1,
James,Trevor Lawrence,QB,1,
James,Rico Dowdle,RB,3,
James,Darren Waller,TE,1,
James,Juwan Johnson,TE,1,
Ryan J,DK Metcalf,WR,36,
Ryan J,Keon Coleman,WR,6,tagged 2025
Ryan J,Jajuan Jennings,WR,11,
Ryan J,DeVon Achane,RB,16,
Ryan J,Ashton Jeanty,RB,1,
Ryan J,Tee Higgins,WR,72,
Ryan J,Bucky Irving,RB,77,
Ryan J,Jakobi Meyers,WR,39,
Ryan J,Brock Purdy,QB,5,
Ryan J,Michael Wilson,WR,1,
Ryan J,Oronde Gadsden,TE,1,
Ryan J,Brenton Strange,TE,1,
Ryan J,Kareem Hunt,RB,1,
Ryan J,Tre Harris,WR,1,
Ryan J,Jalen McMillan,WR,2,
Ryan J,Devin Neal,RB,1,
Ryan J,Daniel Jones,QB,1,
Ryan J,Ladd McConkey,WR,57,
CJ,Tyrone Tracy Jr,RB,11,
CJ,Ja'Marr Chase,WR,36,tagged 2025
CJ,Chase Brown,RB,21,
CJ,Sam LaPorta,TE,21,
CJ,Ricky Pearsall,WR,16,
CJ,Omarion Hampton,RB,1,
CJ,D'Andre Swift,RB,42,
CJ,Jalen Hurts,QB,57,
CJ,DeVonta Smith,WR,85,
CJ,Matthew Golden,WR,70,
CJ,Justin Herbert,QB,4,
CJ,Tory Horton,WR,1,
CJ,Jake Ferguson,TE,6,
CJ,Elic Ayomanor,WR,1,
CJ,Parker Washington,WR,1,
CJ,Cade Otton,TE,1,
CJ,Dontayavion Wicks,WR,1,
Jason,CeeDee Lamb,WR,36,tagged 2025
Jason,Trey McBride,TE,21,
Jason,AJ Brown,WR,36,
Jason,Bijan Robinson,RB,16,
Jason,Jahmyr Gibbs,RB,21,
Jason,Kenneth Walker,RB,31,
Jason,Joe Burrow,QB,69,
Jason,Dak Prescott,QB,8,
Jason,Chris Godwin Jr,WR,41,
Jason,Nick Chubb,RB,37,
Jason,Josh Downs,WR,26,
Jason,Troy Franklin,WR,1,
Jason,Quentin Johnston,WR,1,
Jason,Romeo Doubs,WR,1,
Jason,Luther Burden,WR,1,
Shane,James Cook,RB,79,
Shane,Rome Odunze,WR,6,tagged 2025
Shane,Caleb Williams,QB,11,
Shane,George Kittle,TE,64,
Shane,Kyle Monangai,RB,1,
Shane,Jayden Higgins,WR,10,
Shane,AD Mitchell,WR,11,
